Date;V2X Index;SX5E Index;Spr_Liq_St;Incl_curv_rend
05/01/04;21,29;0,003756845;-0,02;2,211
06/01/04;20,05;-0,000769212;-0,022;2,149
07/01/04;19,22;-0,008335977;-0,035;2,141
08/01/04;18,31;0,013947788;-0,04;2,126
09/01/04;20,16;-0,007503553;-0,049;2,039
12/01/04;20,67;-0,002242729;0,003;2,028
13/01/04;20,46;0,002895615;-0,002;2,049
14/01/04;19,68;0,009803817;-0,01;2,068
15/01/04;18,6;0,004014929;-0,011;2,068
16/01/04;17,87;0,00885666;-0,019;2,076
19/01/04;19,02;0,004877947;-0,015;2,086
20/01/04;18,97;-0,007069592;-0,003;2,057
21/01/04;17,73;0,00499374;-0,012;2,082
22/01/04;18,6;0,006256394;-0,018;2,063
23/01/04;18,47;0,00024206;-0,016;2,022
26/01/04;18,92;-0,006247105;-0,024;2,092
27/01/04;19,21;0,003402366;-0,015;2,072
28/01/04;19,29;0,004344284;-0,018;2,069
29/01/04;20,45;-0,01266924;-0,02;2,173
30/01/04;21,07;-0,00732497;-0,016;2,147
02/02/04;20,57;0,005202298;-0,017;2,138
03/02/04;21,35;-0,004429027;-0,005;2,117
04/02/04;21,01;-0,007510752;-0,006;2,11
05/02/04;20,47;-0,00126954;-0,018;2,094
06/02/04;20,05;0,006139174;-0,016;2,064
09/02/04; 18,79 ;0,013180973;-0,032;2,058
10/02/04;18,6;0,003469199;-0,034;2,068
11/02/04;18,57;0,003422494;-0,002;2,041
12/02/04;18,55;0,001885291;-0,013;2,052
13/02/04;19,02;-0,012212344;-0,01;2,036
16/02/04;18,37;0,005770952;-0,01;2,044
17/02/04;18,02;0,006252194;-0,002;2,017
18/02/04;17,94;0,000763285;-0,004;2,025
19/02/04;17,13;0,012203245;-0,011;2,062
20/02/04;17,96;-0,009747865;-0,016;2,074
23/02/04;18,47;0,001067361;-0,015;2,055
24/02/04;19,47;-0,014246112;-0,013;2,01
25/02/04;18,81;0,002247003;-0,002;2,012
